,REFERENCIA IMAGENES,TIPO,PRODUCTO,MARCA,PRECIO,DESCRIPCION
23,caloventor-liliana-2000w,Caloventores,Caloventor Liliana 2000W,LILIANA,500,Voltaje: 220V. Potencia máxima de 2000 W que permite alcanzar la temperatura deseada en habitaciones pequeñas de forma sostenida. Diseño adaptable para posicionamiento vertical u horizontal según el espacio disponible en la superficie de apoyo. Función de ventilación integrada que permite el movimiento de aire en el ambiente sin aplicar calor a la estancia. Configuración técnica que habilita el uso del dispositivo como calefactor o como ventilador independiente.
24,caloventor-liliana-cemrif-2400w,Caloventores,Caloventor Liliana CEMIF 2400W,LILIANA,900,Voltaje: 220V. La potencia de 2400 W con dos niveles seleccionables permite adaptar la emisión de calor según la temperatura ambiente. El termostato regulable mantiene la temperatura deseada apagando el equipo automáticamente al alcanzar el punto fijado. La estructura de metal reforzado permite soportar impactos en ambientes de tránsito frecuente sin dañar sus componentes. Las medidas de 23x17x27 cm ocupan poco espacio sobre superficies pequeñas facilitando su ubicación en cualquier sector. El corte de seguridad por sobrecalentamiento y la protección por sobrecarga detienen el motor ante fallas eléctricas. El cabezal reclinable permite orientar el flujo de aire generado por la función turbo hacia áreas específicas.
25,carlitero-tostador-simple-danda,Pequeños electrodomésticos,Carlitera tostador Simple ,DANDA,2500,Altura de la parrilla: 25 cm. Ancho de la parrilla: 47 cm. Profundidad de la parrilla: 45 cm. Plancha bifera de 3 mm de espesor que permite una distribución pareja del calor durante el proceso de cocción. Superficie de cocción de 45 cm por 45 cm que permite procesar múltiples unidades de sándwiches en simultáneo. Fabricación íntegra en acero inoxidable que permite el mantenimiento y la limpieza recurrente del material. Potencia de 6000 calorías por hora que permite alcanzar la temperatura necesaria para el sellado de alimentos. Entrada de gas de 1/2 pulgada para la conexión directa a redes de gas envasado y uso inmediato en cocina.
26,celular-motorola-moto-G06,Celulares,Celular Motorola Moto G06,MOTOROLA,2.100,"Memoria RAM: 4 GB. Dispositivo desbloqueado para que elijas la compañía telefónica que prefieras. Pantalla de 6.9"". Cámara delantera de 50Mpx. Procesador MediaTek MT6572M Octa-Core de 2GHz con 4GB de RAM. Batería de 5.2 Ah. Memoria interna de 128GB. Resistente al agua. Con reconocimiento facial y sensor de huella dactilar. Tarjeta eSIM incluida en tu dispositivo."
27,celular-motorola-moto-G15,Celulares,Celular Motorola Moto G15,MOTOROLA,2.400,"Dispositivo desbloqueado para que elijas la compañía telefónica que prefieras. Memoria interna de 128GB. Tamaño de la pantalla: 6.8 ""(16.567 cm x 7.598 cm x 8.1 mm) Memoria interna: 128 GB. Cámara trasera principal: 50 Mpx. Con NFC: Sí. Cámara frontal principal: 8 Mpx Desbloqueo: Huella dactilar."
28,celular-motorola-moto-G35,Celulares,Celular Motorola Moto G35,MOTOROLA,3.200,Memoria RAM: 4 GB. Dispositivo liberado para que elijas la compañía telefónica que prefieras.Compatible con redes 5G. Cámara delantera de 16Mpx. Batería de 5000mAh. Memoria interna de 128GB. Con reconocimiento facial y sensor de huella dactilar.
29,celular-samsung-galaxy-A07,Celulares,Celular Samsung Galaxy A07,SAMSUNG,2.200,"Memoria RAM: 4 GB. Dispositivo liberado para que elijas la compañía telefónica que prefieras. Pantalla de 6.7"". Cámara delantera de 8Mpx. Batería de 5 Ah. Memoria interna de 64GB. Con sensor de huella dactilar."
30,celular-samsung-galaxy-A17,Celulares,Celular Samsung Galaxy A17,SAMSUNG,3.600,Dispositivo desbloqueado para que elijas tu compañía telefónica preferida. Pantalla Super AMOLED de 6.7 pulgadas. Cámara trasera de 50 Mpx. Cámaras frontales de 13Mpx. Batería de 5 Ah. Memoria interna de 128 GB. Resistente al agua. Con sensor de huellas dactilares. Resistente al polvo.
31,celular-samsung-galaxy-A26,Celulares,Celular Samsung Galaxy A26,SAMSUNG,5.300,Memoria RAM: 8 GB. Dispositivo liberado para que elijas la compañía telefónica que prefieras. Compatible con redes 5G. Memoria interna de 256GB.
32,celular-samsung-galaxyA36,Celulares,Celular Samsung Galaxy A36,SAMSUNG,5.700,Dispositivo desbloqueado para que elijas tu compañía telefónica preferida. Memoria interna de 256 GB. Desbloqueo: Huella dactilar y reconocimiento facial. Con NFC: Sí. Cámara trasera principal: 50 Mpx. Cámara frontal principal: 12 Mpx
33,cocina-industrial-4-hornallas-morelli,Cocinas,Cocina industrial 4 hornallas Morelli,MORELLI,7.200,Cantidad de hornallas: 4. Tipo de gas: GN. Tipo de puerta del horno: Con visor. Gas como tipo de alimentación para un rendimiento eficiente. Eficiencia energética de las hornallas clasificada como A. Capacidad del horno de 61 L ideal para grandes preparaciones. Profundidad de 62 cm para un diseño compacto y funcional. Diseño de pie que permite una instalación flexible en la cocina.
34,cocina-juguete-gigante-infantil-fiorella,Juguetes,Cocina juguete gigante infantil ,DURAVIT,1.500,"Fabricado en plástico. Tipo de pilas requeridas: No requiere. Viene con horno. Cuenta con 39 piezas. Accesorios incluidos: cuchara, plato. Dimensiones: 86cm de altura x 47cm de ancho y 40cm de largo."
35,cocina-morelli,Cocinas,Cocina Morelli,MORELLI,4.700,"Cantidad de hornallas: 4. Tipo de gas: GN. Tipo de puerta del horno: Con visor. Cocina de pie. Posee 4 hornallas. Dimensiones: 55cm de ancho, 87cm de alto y 62cm de profundidad."
36,colchon-1plaza-espuma-gani,Colchones,Colchón 1 plaza espuma Gani,GANI,3.200,Densidad de 23 kg/m³ para un soporte ideal del cuerpo. Construido con espuma de poliuretano duradera. Firmeza que se adapta a la postura. Distribución balanceada del peso en la superficie. Diseño moderno que complementa cualquier habitación.
37,computador-mini-portatil-didactico,Computadoras,Computadora mini portátil didáctica,COMPU DIDACTICA,900,Largo x Ancho x Altura: 17 cm x 12 cm x 3.5 cm. Peso: 350gr. Idiomas: español/ingles. Incluye mouse. Edad reomendada: 3 a 10 años.
38,cortadora-fiambre-santini,Cortadoras,Cortadora de fiambre Santini,SANTINI,8.700,Voltaje: 220V. Potente motor de 250 W para uso industrial. Cuchilla de acero inoxidable de 30 cm. Grosor de corte regulable de hasta 1.5 cm. Cuerpo robusto de aluminio anodizado. Incluye afilador para la cuchilla. Diámetro del disco de corte: 30 cm.
39,escalera-aluminio-multiproposito,Escaleras,Escalera aluminio multipropósito,ESCALERA,1.900,Altura máxima de la escalera de 4.6 m para alcanzar lugares elevados. Estructura de aluminio ligera y resistente a productos químicos. Capacidad de carga de hasta 150 kg para mayor seguridad. 16 escalones para un acceso cómodo y seguro. Diseño plegable que ahorra espacio al guardarla.
40,estufa-garrafera-cadena-zero-4200w,Estufas,Estufa garrafera Cadena Zero 4200W,CADENA ZERO,2.200,"Tipo de conexión: Gas envasado. Apto para: Gas envasado. Capacidad del tanque de gas: 10kg. Tipo de tiraje: lateral. Potencia de calefacción: 3612kcal/h. Con 3 niveles. Contiene válvulas de seguridad. Dimensiones: 40cm de ancho, 72cm de alto y 26cm de profundidad. Pesa: 8kg."
41,estufa-garrafera-premium-3600kcal,Estufas,Estufa garrafera Premium 3600 kcal,PREMIUM,1.900,Tipo de conexión: Garrafa. Capacidad del tanque de gas de 10 kg para un rendimiento duradero. Potente calefacción de 3600 kcal/h para ambientes cálidos. Tres niveles de potencia para ajustarse a tus necesidades. Incluye válvulas de seguridad y regulador de presión para mayor seguridad. Diseño plegable con ruedas para fácil movilidad dentro del hogar.
42,exhibidora-delhi-430lts,Exhibidoras,Exhibidora Delhi 430L,DELHI,12.300,Capacidad de 430 litros. Orientación vertical. Con 1 puerta. Tiene luz interior. Otorga protagonismo a tus productos refrigerados.
43,exhibidora-inelro-mt12,Exhibidoras,Exhibidora Inelro MT12,INELRO,9.900,Voltaje: 220V. Capacidad de 310 litros. Orientación vertical. Con 1 puerta. Posee estantes. Tiene luz interior. Dimensiones: 68cm de ancho x 1.625 m de alto x 64.5cm de profundidad. Otorga protagonismo a tus productos refrigerados.
44,exhibidora-inelro-mt17,Exhibidoras,Exhibidora Inelro MT17,INELRO,12.400,"Voltaje: 220V. Capacidad en volumen: 470 L. Capacidad de 460 litros. Orientación vertical. Con 1 puerta. Posee estantes. Tiene luz interior. Otorga protagonismo a tus productos refrigerados. Dimensiones: 68cm de ancho x 205,5cm de alto x 60,5cm de profundidad."
45,exhibidora-vertical-briket-m4300,Exhibidoras,Exhibidora vertical Briket M4300,BRIKET,19.000,Ancho: 67.5 cm. Voltaje: 220V. Capacidad en volumen: 417 L. Capacidad de 417 litros. Orientación vertical. Con 1 puerta. Tiene luz interior.
46,exprimidor-comercial-electrico-santini,Exprimidores,Exprimidor comercial eléctrico Santini,SANTINI,1.700,Voltaje: 220V. Potencia industrial de 180W con motor de baja sonoridad. Velocidad de rotación de 1500 RPM para un exprimido eficiente. Incluye 3 conos plásticos de diferentes medidas. Diseño robusto con cuerpo de fundición de aluminio. Dimensiones de 49 cm de profundidad para un uso versátil.
47,freezer-inelro-350,Freezers,Freezer Inelro 350,INELRO,7.800,"Voltaje: 220V. Con descongelamiento manual. Sistema de deshielo cíclico. Función de fast freezing. Funciones: múltiple. Rango de temperatura: -18°C a -22°C. Posee control de temperatura. Con ruedas. Con tapón de drenaje. Tipo de gas refrigerante: R134a. Dimensiones: 1130 mm de ancho, 955 mm de alto y 690 mm de profundidad."
48,freezer-inelro-470,Freezers,Freezer Inelro 470,INELRO,11.000,"Voltaje: 220V. Función de fast freezing. Funciones: enfriar. Rango de temperatura: -22°C a 6°C. Con 2 puertas. Con ruedas. Con tapón de drenaje. Tipo de gas refrigerante: R600a. Dimensiones: 1665 mm de ancho, 955 mm de alto y 725 mm de profundidad."
49,freidora-electrica-6ltsturboblender,Freidoras,Freidora eléctrica 6L Turboblender,TURBOBLENDER,1.600,Frecuencia: 50 Hz/60 Hz. Voltaje: 220V. Cocción por aceite con capacidad de hasta 6L. Elaborada con material de metal. Su termostato regula automáticamente la temperatura. Cuenta con protección de sobrecalentamiento y mango resistente al calor. Tiene temporizador. Incluye rejilla. Preparaciones deliciosas en poco tiempo.
50,freidora-morelli-15lts,Freidoras,Freidora Morelli 15L,MORELLI,3.900,"Cocción por aceite con capacidad de hasta 15L. Elaborada con material de acero inoxidable. Capacidad máxima de la canasta en peso: 2kg. Posee superficie antiadherente y canasta removible. Dimensiones: 46cm de ancho, 80cm de alto y 51cm de profundidad. Incluye manija. Preparada para freír grandes cantidades de alimentos."
51,heladera-dalton-183lts-con-dispenser,Heladeras,Heladera Dalton 183L con dispenser,DALTON,6.700,"Capacidad total de 183 litros para almacenamiento eficiente de alimentos. Eficiencia energética A para ahorro en consumo. Dispensador de agua integrado para mayor comodidad. Estantes de vidrio templado que ofrecen durabilidad y fácil limpieza. Voltaje: 220V. Dimensiones: 51.1 cm de ancho, 1.245 m de alto y 51.9 cm de profundidad. Con dispenser de agua. Con control de temperatura. Clase climática SN-ST / Nivel de contaminación acústica (dB(A)): 38."
52,heladera-philco-161lts-con-dispenser,Heladeras,Heladera Philco 161L con dispenser,PHILCO,6.800,"Voltaje: 220V. Dimensiones: 51.1 cm de ancho, 1.245 m de alto y 51.9 cm de profundidad. Con dispenser de agua. Con control de temperatura. Clase climática SN-ST / Nivel de contaminación acústica (dB(A)): 38."
53,heladera-philco-161lts-con-dispenser-roja,Heladeras,Heladera Philco 161L con dispenser roja,PHILCO,6.950,"Voltaje: 220V. Con dispenser de agua. Temperatura Congelador: -6° C. Distancias mínimas de posicionamiento: 50mm entre la parte trasera y laterales del refrigerador. Nivel de contaminación acústica (dB(A)): 36. Rango de temperatura del refrigerador: hasta -6°C. Dimensiones: 49.5 cm de ancho, 1.27 m de alto y 50 cm de profundidad."
54,heladera-philco-164lts-con-dispenser,Heladeras,Heladera Philco 164L con dispenser,PHILCO,7.700,"Voltaje: 220V. Con dispenser de agua. Temperatura Congelador: -6° C. Distancias mínimas de posicionamiento: 50mm entre la parte trasera y laterales del refrigerador. Nivel de contaminación acústica (dB(A)): 36. Rango de temperatura del refrigerador: hasta -6°C. Dimensiones: 49.5 cm de ancho, 1.27 m de alto y 50 cm de profundidad."
55,horno-12-pizas-con-visor-solreal,Hornos,Horno 12 pizzas con visor Solreal,SOL REAL,5.800,Tipo de conexion: GAS NATURAL. Tipo de puerta del horno: Con visor. Tipo de cocción: gas.
56,horno-multiple,Hornos,Horno múltiple,SOL REAL,5.200,Tipo de puerta del horno: Ciega. Tipo de gas: GN. Cuenta con 4 moldes. Temperatura mínima de 50°C. Temperatura máxima de 300°C.
57,horno-pastelero-6-moldes-solreal,Hornos,Horno pastelero 6 moldes Solreal,SOL REAL,7.500,Tipo alimentacion: Gas. Altura x ancho x profundidad: 135cm x 80cm x 55cm. Tapa ciega. Pastelero 6 moldes.
58,horno-pastelero-18-moldes,Hornos,Horno pastelero 18 moldes,ENRIQUE GARCIA,16.000,Tipo de puerta del horno: Ciega. Tipo de gas: GN. Capacidad para 18 moldes de pizza de 34 cm. Potencia de 24000 cal/h para cocción eficiente. Temperatura máxima de 300 °C para versatilidad. Estructura en acero inoxidable AISI 403 BB para durabilidad. Interior en ladrillos refractarios para mejor retención de calor. Aislado con lana de vidrio para mayor eficiencia energética.
59,horno-pizzero-6-moldes-solreal,Hornos,Horno pizzero 6 moldes Solreal,SOL REAL,3.100,Tipo de puerta del horno: Ciega. Tipo de gas: GN. Capacidad para 6 moldes de pizza de 34 cm. Potencia de 24000 cal/h para cocción eficiente. Temperatura máxima de 300 °C para versatilidad. Estructura en acero inoxidable AISI 403 BB para durabilidad. Interior en ladrillos refractarios para mejor retención de calor. Aislado con lana de vidrio para mayor eficiencia energética.
60,horno-pizzero-12-moldes-solreal,Hornos,Horno pizzero 12 moldes Solreal,SOL REAL,5.700,Tipo de puerta del horno: Ciega. Tipo de gas: GN. Capacidad para 12 moldes de pizza de 34 cm. Potencia de 24000 cal/h para cocción eficiente. Temperatura máxima de 300 °C para versatilidad. Estructura en acero inoxidable AISI 403 BB para durabilidad. Interior en ladrillos refractarios para mejor retención de calor. Aislado con lana de vidrio para mayor eficiencia energética.
61,horno-trento-morelli,Hornos,Horno Trento Morelli,MORELLI,2.900,"Tipo de puerta del horno: Ciega. Tipo de gas: Multigas. Capacidad de 61 litros, ideal para 3 moldes. Consumo de 2.822 Kcal/h a gas natural. Dimensiones compactas de 55cm x 60cm x 63cm. Piso de ladrillos refractarios para una mejor cocción."
62,infusionador-cafetera-5lts,Cafeteras,Infusionador / cafetera 5L,INFUSIONADOR,1.600,Voltaje: 220V. Su capacidad es de 4.5 L. Potencia de 1 kW.
63,kit-amoladora-taladro-lusqtoff,Herramientas,Kit amoladora + taladro Lusqtoff,LUSQTOFF,1.750,"Herramientas incluidas: amoladora, maletín, taladro. Incluye estuche. Cantidad de piezas: 3"
64,kit-camaras-seguridad-tiandy,Seguridad,Kit cámaras de seguridad Tiandy,TIANDY,4.400,"Cámaras 2MP y NVR 4ch PoE brindan video 1080p nítido y audio en un solo cable simplificando la instalación. Operación PoE Plug & Play reduce el cableado al usar energía y datos por un solo cable de red por cámara. Cámaras IP HD 2MP con visión nocturna aseguran vigilancia tanto de día como de noche sin interrupciones. Instalación en interiores o exteriores hasta 60 °C ofrece versatilidad y resistencia a diversas condiciones. Grabación de audio integrada en cada cámara permite capturar sonidos, incrementando detalles de vigilancia. Montaje en pared optimiza el ángulo de visión, asegurando cobertura efectiva del área deseada."
65,kit-hidro-aspiradora-lusqtoff,Herramientas,Kit hidroaspiradora Lusqtoff,LUSQTOFF,2.600,Voltaje: 18V. Batería de 18V Li-ion recargable. Presión máxima de 30 bar para hidrolavadora. Caudal de 3.6 l/min en hidrolavadora. Potencia de succión de 4.3 kpa en aspiradora. Capacidad de 650 ml en aspiradora. Tecnología Brushless para mayor eficiencia.
66,kit-maquillaje-infantil-anmat,Juguetes,Kit maquillaje infantil ANMAT,MAQUILLAJE,1.300,Variante 4: 12 productos y neceser. Cantidad de piezas: 12. Edad mínima recomendada: 4 años. Incluye estuche. Es lavable.
67,kit-recortador-barba-remington,Cuidado personal,Kit recortador de barba Remington,REMINGTON,1.000,Incluye estuche. Incluye peine. Cantidad de piezas: 3
68,lavarropa-boher-automatico-carga-superior-4kg,Lavarropas,Lavarropa Boher automático carga superior 4 kg,BOHER,3.700,10 programas de lavado para diferentes necesidades. Velocidad de centrifugado de 700 rpm para secado eficiente. Carga superior que facilita la carga y descarga. Pantalla digital para un control sencillo. Bloqueo para niños para mayor seguridad.
69,lavarropa-hisense-8kg,Lavarropas,Lavarropa Hisense 8 kg,HISENSE,5.750,Voltaje: 220V. Capacidad de 8 kg que permite lavar la carga de ropa semanal de una familia en un solo ciclo de funcionamiento continuo. Centrifugado de 1400 rpm que extrae mayor cantidad de humedad reduciendo el tiempo de secado posterior de las prendas. Motor BLDC Inverter que reduce el ruido mecánico durante el lavado y permite un control preciso de los ciclos de giro. Sistema Jet Wash con vapor que penetra las fibras textiles para eliminar residuos y reducir el uso de la plancha. Selección de 15 programas de lavado con temperatura regulable para adaptar el ciclo al tipo de tejido de cada prenda. Función de carga autoadaptativa que mide el peso de la ropa para ajustar el consumo de agua según la carga ingresada.
70,lavarropas-philco-5kg-carga-superior,Lavarropas,Lavarropas Philco 5 kg carga superior,PHILCO,4.100,Voltaje: 220V. Carga superior. Incluye 8 programas de lavado. Dimensiones: 51.5cm de ancho x 83cm de alto x 53.5cm de profundidad. Apto para lavar con agua a diversas temperaturas.
71,lavarropas-philco-11kg,Lavarropas,Lavarropas Philco 11 kg,PHILCO,9.800,Voltaje: 220V. Carga frontal. Incluye 16 programas de lavado. Dimensiones: 59.8cm de ancho x 84.5cm de alto x 60.8cm de profundidad. Apto para lavar con agua a diversas temperaturas.
72,lomitera-doble-morelli,Lomiteras,Lomitera doble Morelli,MORELLI,5.600,Ancho de parrilla: 5cm. Profundidad de parrilla: 56cm. Tipo area de cocción: plancha. Tipo: Gas. Con deposito para grasa.
73,maletin-alumino-taladro-lusqtoff,Herramientas,Maletín aluminio + taladro Lusqtoff,LUSQTOFF,1.800,Material: aluminio y plastico. Con ruedas.
74,maquina-bebidas-helados-atma-frost,Máquinas gastronómicas,Máquina de bebidas y helados Atma Frost,ATMA,4.700,"Voltaje: 220V. Capacidad de 2 litros que permite elaborar porciones para reuniones familiares en un único proceso de producción. Motor de 150 W de potencia que procesa los ingredientes para obtener la consistencia de bebidas frozen y slushie. Compresor automático integrado que mantiene el enfriamiento constante durante el ciclo de 30 minutos de preparación. Cinco programas configurables para procesar helado soft, milkshakes, cocktails, slushies y bebidas frozen en 30 minutos. Dimensiones de 48.9 cm de altura, 43 cm de ancho y 28.3 cm de profundidad que permiten su ubicación en mesadas."
75,maquina-cortapelo-whal,Cuidado personal,Máquina cortapelo Whal,WHAL,400,Voltaje: 220V. Potencia de 9 W para un rendimiento óptimo en el corte. Longitud del cable de 2.4 m para mayor libertad de movimiento. 10 posiciones de corte adaptables para diferentes estilos. Cabezal removible y lavable para facilitar la limpieza. Sistema de motor magnético/vibratorio que garantiza un corte eficiente. Altura de corte ajustable desde 3 mm hasta 2.5 cm para personalizar el acabado.
76,maquina-pastas-atlas-150,Máquinas gastronómicas,Máquina de pastas Atlas 150,ATLAS,3.200,Acero inoxidable de alta resistencia para una durabilidad prolongada. Ancho del rodillo de 15 cm ideal para diversas masas. Espesor ajustable entre 0.6 mm y 1 mm para diferentes tipos de pastas. Incluye accesorios para fettuccine y tagliolini para mayor versatilidad.
77,mesa-gastronomica,Mobiliario gastronómico,Mesa gastronómica,MESA GASTRO,4.450,Mesa gastronomica. Con topineras. Medidas: 100cm x 55cm x 90cm.
78,mixer-enjuagador-vasos-turboblender,Electrodomésticos,Mixer enjuagador de vasos Turboblender,TURBOBLENDER,3.600,Tipos de electrodomésticos compatibles: vasos.licuadoras. Marcas compatibles: Varias. Modelos compatibles: Apto para vaso de 2Lts o inferior.
